Class,                splicee,      recomb,memsize,dna_length,time,multiple,numbreaks
LinkStrand:,256,4800471,512,4639221,0.214,1,645
LinkStrand:,512,4965591,512,4639221,0.144,1,645
LinkStrand:,1024,5295831,512,4639221,0.158,1,645
LinkStrand:,2048,5956311,512,4639221,0.178,1,645
LinkStrand:,4096,7277271,512,4639221,0.140,1,645
LinkStrand:,8192,9919191,512,4639221,0.145,1,645
LinkStrand:,16384,15203031,512,4639221,0.156,1,645
LinkStrand:,32768,25770711,512,4639221,0.137,1,645
LinkStrand:,65536,46906071,512,4639221,0.175,1,645
LinkStrand:,131072,89176791,512,4639221,0.112,1,645
LinkStrand:,262144,173718231,512,4639221,0.158,1,645
LinkStrand:,524288,342801111,512,4639221,0.166,1,645
LinkStrand:,1048576,680966871,512,4639221,0.172,1,645
LinkStrand:,2097152,1357298391,512,4639221,0.136,1,645
LinkStrand:,4194304,2709961431,512,4639221,0.151,1,645
LinkStrand:,8388608,5415287511,512,4639221,0.163,1,645
LinkStrand:,16777216,10825939671,512,4639221,0.273,1,645
LinkStrand:,33554432,21647243991,512,4639221,0.252,1,645
LinkStrand:,67108864,43289852631,512,4639221,0.080,1,645
LinkStrand:,256,9600942,512,9278442,0.281,2,1290
LinkStrand:,512,9931182,512,9278442,0.191,2,1290
LinkStrand:,1024,10591662,512,9278442,0.272,2,1290
LinkStrand:,2048,11912622,512,9278442,0.159,2,1290
LinkStrand:,4096,14554542,512,9278442,0.261,2,1290
LinkStrand:,8192,19838382,512,9278442,0.184,2,1290
LinkStrand:,16384,30406062,512,9278442,0.280,2,1290
LinkStrand:,32768,51541422,512,9278442,0.168,2,1290
LinkStrand:,65536,93812142,512,9278442,0.294,2,1290
LinkStrand:,131072,178353582,512,9278442,0.181,2,1290
LinkStrand:,262144,347436462,512,9278442,0.253,2,1290
LinkStrand:,524288,685602222,512,9278442,0.172,2,1290
LinkStrand:,1048576,1361933742,512,9278442,0.259,2,1290
LinkStrand:,2097152,2714596782,512,9278442,0.175,2,1290
LinkStrand:,4194304,5419922862,512,9278442,0.239,2,1290
LinkStrand:,8388608,10830575022,512,9278442,0.156,2,1290
LinkStrand:,16777216,21651879342,512,9278442,0.164,2,1290
LinkStrand:,33554432,43294487982,512,9278442,0.214,2,1290
LinkStrand:,67108864,86579705262,512,9278442,0.211,2,1290
LinkStrand:,256,14401413,512,13917663,0.259,3,1935
LinkStrand:,512,14896773,512,13917663,0.236,3,1935
LinkStrand:,1024,15887493,512,13917663,0.248,3,1935
LinkStrand:,2048,17868933,512,13917663,0.173,3,1935
LinkStrand:,4096,21831813,512,13917663,0.297,3,1935
LinkStrand:,8192,29757573,512,13917663,0.262,3,1935
LinkStrand:,16384,45609093,512,13917663,0.384,3,1935
LinkStrand:,32768,77312133,512,13917663,0.246,3,1935
LinkStrand:,65536,140718213,512,13917663,0.348,3,1935
LinkStrand:,131072,267530373,512,13917663,0.250,3,1935
LinkStrand:,262144,521154693,512,13917663,0.344,3,1935
LinkStrand:,524288,1028403333,512,13917663,0.240,3,1935
LinkStrand:,1048576,2042900613,512,13917663,0.352,3,1935
LinkStrand:,2097152,4071895173,512,13917663,0.244,3,1935
LinkStrand:,4194304,8129884293,512,13917663,0.313,3,1935
LinkStrand:,8388608,16245862533,512,13917663,0.217,3,1935
LinkStrand:,16777216,32477819013,512,13917663,0.333,3,1935
LinkStrand:,33554432,64941731973,512,13917663,0.347,3,1935
LinkStrand:,67108864,129869557893,512,13917663,0.485,3,1935
LinkStrand:,256,19201884,512,18556884,0.452,4,2580
LinkStrand:,512,19862364,512,18556884,0.355,4,2580
LinkStrand:,1024,21183324,512,18556884,0.382,4,2580
LinkStrand:,2048,23825244,512,18556884,0.273,4,2580
LinkStrand:,4096,29109084,512,18556884,0.424,4,2580
LinkStrand:,8192,39676764,512,18556884,0.344,4,2580
LinkStrand:,16384,60812124,512,18556884,0.440,4,2580
LinkStrand:,32768,103082844,512,18556884,0.384,4,2580
LinkStrand:,65536,187624284,512,18556884,0.472,4,2580
LinkStrand:,131072,356707164,512,18556884,0.338,4,2580
LinkStrand:,262144,694872924,512,18556884,0.478,4,2580
LinkStrand:,524288,1371204444,512,18556884,0.379,4,2580
LinkStrand:,1048576,2723867484,512,18556884,0.503,4,2580
LinkStrand:,2097152,5429193564,512,18556884,0.477,4,2580
LinkStrand:,4194304,10839845724,512,18556884,0.427,4,2580
LinkStrand:,8388608,21661150044,512,18556884,0.447,4,2580
LinkStrand:,16777216,43303758684,512,18556884,0.424,4,2580
LinkStrand:,33554432,86588975964,512,18556884,0.536,4,2580
LinkStrand:,67108864,173159410524,512,18556884,0.501,4,2580
