Class,                splicee,      recomb,memsize,dna_length,time1,time2,time3
SimpleStrand:,256,4800471,512,4639221,0.157,0.192,0.186
SimpleStrand:,512,4965591,512,4639221,0.138,0.173,0.254
SimpleStrand:,1024,5295831,512,4639221,0.179,0.212,0.24
SimpleStrand:,2048,5956311,512,4639221,0.12,0.121,0.161
SimpleStrand:,4096,7277271,512,4639221,0.135,0.146,0.157
SimpleStrand:,8192,9919191,512,4639221,0.216,0.222,0.32
SimpleStrand:,16384,15203031,512,4639221,0.262,0.276,0.399
SimpleStrand:,32768,25770711,512,4639221,0.492,0.452,0.68
SimpleStrand:,65536,46906071,512,4639221,0.75,0.679,1.01
SimpleStrand:,131072,89176791,512,4639221,1.289,1.144,1.504
